date;Defines_actives;FREQ;Dir_Out
2026-07-20 20:00:07;FPREDICT TYP ;2402;../rtl/data/2402_TYP/FPREDICT
2026-07-20 20:00:35;FPREDICT SDM1 TYP ;2402;../rtl/data/2402_TYP/FPREDICT_SDM1
2026-07-20 20:01:06;FPREDICT SDM2 TYP ;2402;../rtl/data/2402_TYP/FPREDICT_SDM2
2026-07-20 20:01:44;FPREDICT TYP ;2440;../rtl/data/2440_TYP/FPREDICT
2026-07-20 20:02:11;FPREDICT SDM1 TYP ;2440;../rtl/data/2440_TYP/FPREDICT_SDM1
2026-07-20 20:02:42;FPREDICT SDM2 TYP ;2440;../rtl/data/2440_TYP/FPREDICT_SDM2
2026-07-20 20:03:19;FPREDICT TYP ;2480;../rtl/data/2480_TYP/FPREDICT
2026-07-20 20:03:46;FPREDICT SDM1 TYP ;2480;../rtl/data/2480_TYP/FPREDICT_SDM1
2026-07-20 20:04:18;FPREDICT SDM2 TYP ;2480;../rtl/data/2480_TYP/FPREDICT_SDM2
2026-07-20 20:04:57;FPREDICT TYP ;2418.123;../rtl/data/2418123_TYP/FPREDICT
2026-07-20 20:05:21;FPREDICT SDM1 TYP ;2418.123;../rtl/data/2418123_TYP/FPREDICT_SDM1
2026-07-20 20:05:48;FPREDICT SDM2 TYP ;2418.123;../rtl/data/2418123_TYP/FPREDICT_SDM2
2026-07-20 20:06:23;FPREDICT WORST ;2402;../rtl/data/2402_WORST/FPREDICT
2026-07-20 20:06:50;FPREDICT SDM1 WORST ;2402;../rtl/data/2402_WORST/FPREDICT_SDM1
2026-07-20 20:07:20;FPREDICT SDM2 WORST ;2402;../rtl/data/2402_WORST/FPREDICT_SDM2
2026-07-20 20:07:56;FPREDICT WORST ;2440;../rtl/data/2440_WORST/FPREDICT
2026-07-20 20:08:21;FPREDICT SDM1 WORST ;2440;../rtl/data/2440_WORST/FPREDICT_SDM1
2026-07-20 20:08:50;FPREDICT SDM2 WORST ;2440;../rtl/data/2440_WORST/FPREDICT_SDM2
2026-07-20 20:09:25;FPREDICT WORST ;2480;../rtl/data/2480_WORST/FPREDICT
2026-07-20 20:09:50;FPREDICT SDM1 WORST ;2480;../rtl/data/2480_WORST/FPREDICT_SDM1
2026-07-20 20:10:21;FPREDICT SDM2 WORST ;2480;../rtl/data/2480_WORST/FPREDICT_SDM2
2026-07-20 20:10:57;FPREDICT WORST ;2418.123;../rtl/data/2418123_WORST/FPREDICT
2026-07-20 20:11:20;FPREDICT SDM1 WORST ;2418.123;../rtl/data/2418123_WORST/FPREDICT_SDM1
2026-07-20 20:11:46;FPREDICT SDM2 WORST ;2418.123;../rtl/data/2418123_WORST/FPREDICT_SDM2
2026-07-20 20:12:18;FPREDICT BEST ;2402;../rtl/data/2402_BEST/FPREDICT
2026-07-20 20:12:45;FPREDICT SDM1 BEST ;2402;../rtl/data/2402_BEST/FPREDICT_SDM1
2026-07-20 20:13:15;FPREDICT SDM2 BEST ;2402;../rtl/data/2402_BEST/FPREDICT_SDM2
2026-07-20 20:13:50;FPREDICT BEST ;2440;../rtl/data/2440_BEST/FPREDICT
2026-07-20 20:14:16;FPREDICT SDM1 BEST ;2440;../rtl/data/2440_BEST/FPREDICT_SDM1
2026-07-20 20:14:45;FPREDICT SDM2 BEST ;2440;../rtl/data/2440_BEST/FPREDICT_SDM2
2026-07-20 20:15:21;FPREDICT BEST ;2480;../rtl/data/2480_BEST/FPREDICT
2026-07-20 20:15:46;FPREDICT SDM1 BEST ;2480;../rtl/data/2480_BEST/FPREDICT_SDM1
2026-07-20 20:16:18;FPREDICT SDM2 BEST ;2480;../rtl/data/2480_BEST/FPREDICT_SDM2
2026-07-20 20:16:54;FPREDICT BEST ;2418.123;../rtl/data/2418123_BEST/FPREDICT
2026-07-20 20:17:17;FPREDICT SDM1 BEST ;2418.123;../rtl/data/2418123_BEST/FPREDICT_SDM1
2026-07-20 20:17:44;FPREDICT SDM2 BEST ;2418.123;../rtl/data/2418123_BEST/FPREDICT_SDM2
