date;Defines_actives;FREQ;Dir_Out
2026-07-20 21:24:41;FPREDICT SDM2 GAIN_CALIB TYP ;2402;../rtl/data/SIM_DATA
2026-07-20 21:26:18;FPREDICT SDM2 GAIN_CALIB TYP ;2402;../rtl/data/SIM_DATA
2026-07-20 21:33:18;FPREDICT TYP ;2402;../rtl/data/2402_TYP/FPREDICT
2026-07-20 21:33:45;FPREDICT SDM1 TYP ;2402;../rtl/data/2402_TYP/FPREDICT_SDM1
2026-07-20 21:34:17;FPREDICT SDM2 TYP ;2402;../rtl/data/2402_TYP/FPREDICT_SDM2
2026-07-20 21:34:55;FPREDICT TYP ;2440;../rtl/data/2440_TYP/FPREDICT
2026-07-20 21:35:22;FPREDICT SDM1 TYP ;2440;../rtl/data/2440_TYP/FPREDICT_SDM1
2026-07-20 21:35:54;FPREDICT SDM2 TYP ;2440;../rtl/data/2440_TYP/FPREDICT_SDM2
2026-07-20 21:36:31;FPREDICT TYP ;2480;../rtl/data/2480_TYP/FPREDICT
2026-07-20 21:36:59;FPREDICT SDM1 TYP ;2480;../rtl/data/2480_TYP/FPREDICT_SDM1
2026-07-20 21:37:31;FPREDICT SDM2 TYP ;2480;../rtl/data/2480_TYP/FPREDICT_SDM2
2026-07-20 21:38:11;FPREDICT TYP ;2418.123;../rtl/data/2418123_TYP/FPREDICT
2026-07-20 21:38:35;FPREDICT SDM1 TYP ;2418.123;../rtl/data/2418123_TYP/FPREDICT_SDM1
2026-07-20 21:39:02;FPREDICT SDM2 TYP ;2418.123;../rtl/data/2418123_TYP/FPREDICT_SDM2
2026-07-20 21:39:36;FPREDICT WORST ;2402;../rtl/data/2402_WORST/FPREDICT
2026-07-20 21:40:03;FPREDICT SDM1 WORST ;2402;../rtl/data/2402_WORST/FPREDICT_SDM1
2026-07-20 21:40:33;FPREDICT SDM2 WORST ;2402;../rtl/data/2402_WORST/FPREDICT_SDM2
2026-07-20 21:41:08;FPREDICT WORST ;2440;../rtl/data/2440_WORST/FPREDICT
2026-07-20 21:41:34;FPREDICT SDM1 WORST ;2440;../rtl/data/2440_WORST/FPREDICT_SDM1
2026-07-20 21:42:05;FPREDICT SDM2 WORST ;2440;../rtl/data/2440_WORST/FPREDICT_SDM2
2026-07-20 21:42:41;FPREDICT WORST ;2480;../rtl/data/2480_WORST/FPREDICT
2026-07-20 21:43:08;FPREDICT SDM1 WORST ;2480;../rtl/data/2480_WORST/FPREDICT_SDM1
2026-07-20 21:43:39;FPREDICT SDM2 WORST ;2480;../rtl/data/2480_WORST/FPREDICT_SDM2
2026-07-20 21:44:15;FPREDICT WORST ;2418.123;../rtl/data/2418123_WORST/FPREDICT
2026-07-20 21:44:39;FPREDICT SDM1 WORST ;2418.123;../rtl/data/2418123_WORST/FPREDICT_SDM1
2026-07-20 21:45:06;FPREDICT SDM2 WORST ;2418.123;../rtl/data/2418123_WORST/FPREDICT_SDM2
2026-07-20 21:45:38;FPREDICT BEST ;2402;../rtl/data/2402_BEST/FPREDICT
2026-07-20 21:46:04;FPREDICT SDM1 BEST ;2402;../rtl/data/2402_BEST/FPREDICT_SDM1
2026-07-20 21:46:35;FPREDICT SDM2 BEST ;2402;../rtl/data/2402_BEST/FPREDICT_SDM2
2026-07-20 21:47:12;FPREDICT BEST ;2440;../rtl/data/2440_BEST/FPREDICT
2026-07-20 21:47:37;FPREDICT SDM1 BEST ;2440;../rtl/data/2440_BEST/FPREDICT_SDM1
2026-07-20 21:48:08;FPREDICT SDM2 BEST ;2440;../rtl/data/2440_BEST/FPREDICT_SDM2
2026-07-20 21:48:45;FPREDICT BEST ;2480;../rtl/data/2480_BEST/FPREDICT
2026-07-20 21:49:12;FPREDICT SDM1 BEST ;2480;../rtl/data/2480_BEST/FPREDICT_SDM1
2026-07-20 21:49:44;FPREDICT SDM2 BEST ;2480;../rtl/data/2480_BEST/FPREDICT_SDM2
2026-07-20 21:50:21;FPREDICT BEST ;2418.123;../rtl/data/2418123_BEST/FPREDICT
2026-07-20 21:50:44;FPREDICT SDM1 BEST ;2418.123;../rtl/data/2418123_BEST/FPREDICT_SDM1
2026-07-20 21:51:11;FPREDICT SDM2 BEST ;2418.123;../rtl/data/2418123_BEST/FPREDICT_SDM2
2026-07-20 21:51:44;FPREDICT DUMPVARS TYP ;2402;../rtl/data/2402_TYP/FPREDICT_DUMPVARS
2026-07-20 21:51:58;FPREDICT SDM1 DUMPVARS TYP ;2402;../rtl/data/2402_TYP/FPREDICT_SDM1_DUMPVARS
2026-07-20 21:52:14;FPREDICT SDM2 DUMPVARS TYP ;2402;../rtl/data/2402_TYP/FPREDICT_SDM2_DUMPVARS
2026-07-20 21:52:33;FPREDICT DUMPVARS TYP ;2440;../rtl/data/2440_TYP/FPREDICT_DUMPVARS
2026-07-20 21:52:47;FPREDICT SDM1 DUMPVARS TYP ;2440;../rtl/data/2440_TYP/FPREDICT_SDM1_DUMPVARS
2026-07-20 21:53:03;FPREDICT SDM2 DUMPVARS TYP ;2440;../rtl/data/2440_TYP/FPREDICT_SDM2_DUMPVARS
