date;Defines_actives;FREQ;Dir_Out
2026-07-14 20:30:45;FPREDICT TYP ;2402;../rtl/data/2402_TYP/FPREDICT
2026-07-14 20:31:14;FPREDICT SDM1 TYP ;2402;../rtl/data/2402_TYP/FPREDICT_SDM1
2026-07-14 20:31:43;FPREDICT SDM2 TYP ;2402;../rtl/data/2402_TYP/FPREDICT_SDM2
2026-07-14 20:32:17; TYP ;2402;../rtl/data/2402_TYP/BASE
2026-07-14 20:32:48;FPREDICT TYP ;2440;../rtl/data/2440_TYP/FPREDICT
2026-07-14 20:33:13;FPREDICT SDM1 TYP ;2440;../rtl/data/2440_TYP/FPREDICT_SDM1
2026-07-14 20:33:43;FPREDICT SDM2 TYP ;2440;../rtl/data/2440_TYP/FPREDICT_SDM2
2026-07-14 20:34:18; TYP ;2440;../rtl/data/2440_TYP/BASE
2026-07-14 20:34:47;FPREDICT TYP ;2480;../rtl/data/2480_TYP/FPREDICT
2026-07-14 20:35:14;FPREDICT SDM1 TYP ;2480;../rtl/data/2480_TYP/FPREDICT_SDM1
2026-07-14 20:35:46;FPREDICT SDM2 TYP ;2480;../rtl/data/2480_TYP/FPREDICT_SDM2
2026-07-14 20:36:22; TYP ;2480;../rtl/data/2480_TYP/BASE
2026-07-14 20:36:52;FPREDICT TYP ;2418.123;../rtl/data/2418123_TYP/FPREDICT
2026-07-14 20:37:15;FPREDICT SDM1 TYP ;2418.123;../rtl/data/2418123_TYP/FPREDICT_SDM1
2026-07-14 20:37:42;FPREDICT SDM2 TYP ;2418.123;../rtl/data/2418123_TYP/FPREDICT_SDM2
2026-07-14 20:38:13; TYP ;2418.123;../rtl/data/2418123_TYP/BASE
2026-07-14 20:38:39;FPREDICT WORST ;2402;../rtl/data/2402_WORST/FPREDICT
2026-07-14 20:39:07;FPREDICT SDM1 WORST ;2402;../rtl/data/2402_WORST/FPREDICT_SDM1
2026-07-14 20:39:37;FPREDICT SDM2 WORST ;2402;../rtl/data/2402_WORST/FPREDICT_SDM2
2026-07-14 20:40:12; WORST ;2402;../rtl/data/2402_WORST/BASE
2026-07-14 20:40:42;FPREDICT WORST ;2440;../rtl/data/2440_WORST/FPREDICT
2026-07-14 20:41:09;FPREDICT SDM1 WORST ;2440;../rtl/data/2440_WORST/FPREDICT_SDM1
2026-07-14 20:41:38;FPREDICT SDM2 WORST ;2440;../rtl/data/2440_WORST/FPREDICT_SDM2
2026-07-14 20:42:12; WORST ;2440;../rtl/data/2440_WORST/BASE
2026-07-14 20:42:41;FPREDICT WORST ;2480;../rtl/data/2480_WORST/FPREDICT
2026-07-14 20:43:09;FPREDICT SDM1 WORST ;2480;../rtl/data/2480_WORST/FPREDICT_SDM1
2026-07-14 20:43:40;FPREDICT SDM2 WORST ;2480;../rtl/data/2480_WORST/FPREDICT_SDM2
2026-07-14 20:44:15; WORST ;2480;../rtl/data/2480_WORST/BASE
2026-07-14 20:44:46;FPREDICT WORST ;2418.123;../rtl/data/2418123_WORST/FPREDICT
2026-07-14 20:45:09;FPREDICT SDM1 WORST ;2418.123;../rtl/data/2418123_WORST/FPREDICT_SDM1
2026-07-14 20:45:35;FPREDICT SDM2 WORST ;2418.123;../rtl/data/2418123_WORST/FPREDICT_SDM2
2026-07-14 20:46:06; WORST ;2418.123;../rtl/data/2418123_WORST/BASE
2026-07-14 20:46:33;FPREDICT BEST ;2402;../rtl/data/2402_BEST/FPREDICT
2026-07-14 20:46:59;FPREDICT SDM1 BEST ;2402;../rtl/data/2402_BEST/FPREDICT_SDM1
2026-07-14 20:47:28;FPREDICT SDM2 BEST ;2402;../rtl/data/2402_BEST/FPREDICT_SDM2
2026-07-14 20:48:02; BEST ;2402;../rtl/data/2402_BEST/BASE
2026-07-14 20:48:31;FPREDICT BEST ;2440;../rtl/data/2440_BEST/FPREDICT
2026-07-14 20:48:56;FPREDICT SDM1 BEST ;2440;../rtl/data/2440_BEST/FPREDICT_SDM1
2026-07-14 20:49:24;FPREDICT SDM2 BEST ;2440;../rtl/data/2440_BEST/FPREDICT_SDM2
2026-07-14 20:49:57; BEST ;2440;../rtl/data/2440_BEST/BASE
2026-07-14 20:50:25;FPREDICT BEST ;2480;../rtl/data/2480_BEST/FPREDICT
2026-07-14 20:50:52;FPREDICT SDM1 BEST ;2480;../rtl/data/2480_BEST/FPREDICT_SDM1
2026-07-14 20:51:22;FPREDICT SDM2 BEST ;2480;../rtl/data/2480_BEST/FPREDICT_SDM2
2026-07-14 20:51:57; BEST ;2480;../rtl/data/2480_BEST/BASE
2026-07-14 20:52:27;FPREDICT BEST ;2418.123;../rtl/data/2418123_BEST/FPREDICT
2026-07-14 20:52:49;FPREDICT SDM1 BEST ;2418.123;../rtl/data/2418123_BEST/FPREDICT_SDM1
2026-07-14 20:53:15;FPREDICT SDM2 BEST ;2418.123;../rtl/data/2418123_BEST/FPREDICT_SDM2
2026-07-14 20:53:45; BEST ;2418.123;../rtl/data/2418123_BEST/BASE
