PN_out (dBc/Hz);PN_IN (dBc/Hz);jitter_in_band (fs);jitter_all_band (fs);drift_max_ble (Hz);drift_max_hist (Hz);f_deviation (Hz);peak_psd (dBc/Hz);status_drift;status_rate;status_f_ref_deviation;FREQ;CORNER;SETTING
-102,312;-96,02;257,505;1532,494;1657,942;22300,287;863,116;-90,872;PASS;PASS;PASS;2402,0;BEST;FPREDICT
-119,449;-85,193;659,632;815,938;589,161;7720,682;240,68;-84,958;PASS;PASS;PASS;2402,0;BEST;FPREDICT_SDM1
-118,94;-92,123;474,301;701,817;820,754;7368,095;363,063;-91,788;PASS;PASS;PASS;2402,0;BEST;FPREDICT_SDM2
-103,063;-95,141;279,564;1374,253;1356,307;22132,385;534,054;-89,492;PASS;PASS;PASS;2402,0;TYP;FPREDICT
-118,989;-87,188;667,614;832,84;527,839;7469,121;190,185;-87,188;PASS;PASS;PASS;2402,0;TYP;FPREDICT_SDM1
-119,145;-92,496;503,102;728,724;836,72;7449,946;402,112;-91,105;PASS;PASS;PASS;2402,0;TYP;FPREDICT_SDM2
-104,628;-98,226;284,839;1354,528;1261,359;21364,222;445,869;-90,726;PASS;PASS;PASS;2402,0;WORST;FPREDICT
-118,849;-90,855;481,733;700,773;592,205;7738,323;287,23;-89,946;PASS;PASS;PASS;2402,0;WORST;FPREDICT_SDM1
-118,637;-91,103;470,027;710,428;745,957;7709,611;413,497;-89,973;PASS;PASS;PASS;2402,0;WORST;FPREDICT_SDM2
-104,244;-91,708;638,91;2205,132;2103,41;27473,896;724,472;-78,859;PASS;PASS;PASS;2418,123;BEST;FPREDICT
-118,812;-88,64;604,87;1068,129;851,888;8878,219;46,44;-85,912;PASS;PASS;PASS;2418,123;BEST;FPREDICT_SDM1
-118,101;-89,973;582,222;994,639;870,557;9035,84;176,551;-85,82;PASS;PASS;PASS;2418,123;BEST;FPREDICT_SDM2
-104,704;-89,195;428,549;2379,072;2552,918;27709,882;794,829;-78,763;PASS;PASS;PASS;2418,123;TYP;FPREDICT
-118,951;-89,024;598,242;1051,221;892,5;9008,806;84,39;-85,586;PASS;PASS;PASS;2418,123;TYP;FPREDICT_SDM1
-119,285;-88,485;594,938;959,667;897,311;9202,906;102,043;-86,171;PASS;PASS;PASS;2418,123;TYP;FPREDICT_SDM2
-104,474;-93,272;569,959;2261,222;2183,931;26193,149;761,711;-79,463;PASS;PASS;PASS;2418,123;WORST;FPREDICT
-118,398;-90,309;616,002;963,641;800,379;10293,254;13,775;-85,684;PASS;PASS;PASS;2418,123;WORST;FPREDICT_SDM1
-119,029;-87,964;584,59;1000,105;907,531;9672,538;48,732;-85,902;PASS;PASS;PASS;2418,123;WORST;FPREDICT_SDM2
-107,69;-92,482;430,209;1274,857;1676,248;26849,443;561,099;-91,685;PASS;PASS;PASS;2440,0;BEST;FPREDICT
-118,967;-92,05;441,003;639,755;487,21;10459,051;89,724;-91,269;PASS;PASS;PASS;2440,0;BEST;FPREDICT_SDM1
-118,705;-92,447;471,518;689,094;415,425;10801,229;70,805;-92,447;PASS;PASS;PASS;2440,0;BEST;FPREDICT_SDM2
-108,386;-95,187;435,909;1189,102;645,253;21444,639;184,112;-89,454;PASS;PASS;PASS;2440,0;TYP;FPREDICT
-118,626;-94,1;587,865;753,603;474,148;9091,466;94,677;-90,821;PASS;PASS;PASS;2440,0;TYP;FPREDICT_SDM1
-118,572;-92,039;501,336;696,759;494,61;10224,902;83,667;-92,032;PASS;PASS;PASS;2440,0;TYP;FPREDICT_SDM2
-109,353;-93,668;606,893;1145,585;991,799;31867,614;350,279;-90,377;PASS;PASS;PASS;2440,0;WORST;FPREDICT
-118,538;-88,884;555,285;713,43;416,683;8827,611;23,795;-88,863;PASS;PASS;PASS;2440,0;WORST;FPREDICT_SDM1
-118,405;-94,655;408,907;625,944;463,031;11074,633;36,641;-93,976;PASS;PASS;PASS;2440,0;WORST;FPREDICT_SDM2
-104,013;-92,615;307,477;1558,828;1358,518;22721,702;654,731;-90,831;PASS;PASS;PASS;2480,0;BEST;FPREDICT
-119,06;-89,296;564,438;808,68;713,754;8617,303;214,556;-89,273;PASS;PASS;PASS;2480,0;BEST;FPREDICT_SDM1
-118,893;-91,006;546,595;886,249;549,011;9080,813;121,81;-90,804;PASS;PASS;PASS;2480,0;BEST;FPREDICT_SDM2
-103,446;-95,693;313,47;1325,555;1370,381;23925,461;457,566;-89,721;PASS;PASS;PASS;2480,0;TYP;FPREDICT
-119,455;-85,519;666,514;987,826;807,537;7793,214;301,104;-85,399;PASS;PASS;PASS;2480,0;TYP;FPREDICT_SDM1
-118,986;-89,237;506,99;826,577;509,392;7361,413;97,612;-89,237;PASS;PASS;PASS;2480,0;TYP;FPREDICT_SDM2
-104,208;-92,837;397,55;1322,745;1230,823;23736,5;313,946;-89,642;PASS;PASS;PASS;2480,0;WORST;FPREDICT
-118,986;-88,553;540,26;858,815;695,939;8589,593;208,109;-88,478;PASS;PASS;PASS;2480,0;WORST;FPREDICT_SDM1
-118,852;-88,706;525,129;846,241;408,917;8334,388;63,407;-88,706;PASS;PASS;PASS;2480,0;WORST;FPREDICT_SDM2
