FREQ;SETTING;CORNER;POWER (mW)
2402,0;FPREDICT;BEST;0,75685046
2402,0;FPREDICT_SDM1;BEST;0,82918303
2402,0;FPREDICT_SDM2;BEST;0,90081052
2402,0;FPREDICT;TYP;0,65458946
2402,0;FPREDICT_SDM1;TYP;0,70765618
2402,0;FPREDICT_SDM2;TYP;0,77308699
2402,0;FPREDICT;WORST;1,05567548
2402,0;FPREDICT_SDM1;WORST;1,10968860
2402,0;FPREDICT_SDM2;WORST;1,15751724
2418,123;FPREDICT;BEST;0,66280080
2418,123;FPREDICT_SDM1;BEST;0,72923939
2418,123;FPREDICT_SDM2;BEST;0,80266692
2418,123;FPREDICT;TYP;0,57627625
2418,123;FPREDICT_SDM1;TYP;0,63146304
2418,123;FPREDICT_SDM2;TYP;0,69268180
2418,123;FPREDICT;WORST;1,00052973
2418,123;FPREDICT_SDM1;WORST;1,04669999
2418,123;FPREDICT_SDM2;WORST;1,10307741
2440,0;FPREDICT;BEST;0,74966937
2440,0;FPREDICT_SDM1;BEST;0,78699190
2440,0;FPREDICT_SDM2;BEST;0,86033669
2440,0;FPREDICT;TYP;0,65809067
2440,0;FPREDICT_SDM1;TYP;0,68865737
2440,0;FPREDICT_SDM2;TYP;0,74613930
2440,0;FPREDICT;WORST;1,06896335
2440,0;FPREDICT_SDM1;WORST;1,10674535
2440,0;FPREDICT_SDM2;WORST;1,14861872
2480,0;FPREDICT;BEST;0,72127799
2480,0;FPREDICT_SDM1;BEST;0,83375459
2480,0;FPREDICT_SDM2;BEST;0,88782826
2480,0;FPREDICT;TYP;0,61950489
2480,0;FPREDICT_SDM1;TYP;0,70105799
2480,0;FPREDICT_SDM2;TYP;0,77213618
2480,0;FPREDICT;WORST;1,03389643
2480,0;FPREDICT_SDM1;WORST;1,11029539
2480,0;FPREDICT_SDM2;WORST;1,15790786
